id;identificador;ubicacion;latitud;longitud;municipio_id;provincia_id;id_departamento
1224;CBA384-01;;0.0;0.0;CBA384;AR-X;1401
1277;CBA071-01;;0.0;0.0;CBA071;AR-X;1382
1316;TUC100-01;;0.0;0.0;TUC100;AR-T;1648
1317;TUC100-02;;0.0;0.0;TUC100;AR-T;1648
1026;CBA380-01;;0.0;0.0;CBA380;AR-X;1382
1285;SFE182-01;;0.0;0.0;SFE182;AR-S;1685
1193;ERI037-01;;0.0;0.0;ERI037;AR-E;1435
559;LAP075-02;;0.0;0.0;LAP075;AR-L;1494
1140;LAP029-01;;0.0;0.0;LAP029;AR-L;1477
856;SJU017-01;;0.0;0.0;SJU017;AR-J;1595
1181;CHA059-01;;0.0;0.0;CHA059;AR-H;1721
1132;CHA059-03;;0.0;0.0;CHA059;AR-H;1721
1159;BUE007-01;;0.0;0.0;BUE007;AR-B;1202
1183;CBA171-01;;0.0;0.0;CBA171;AR-X;1396
1124;CBA171-02;;0.0;0.0;CBA171;AR-X;1396
1182;CBA171-03;;0.0;0.0;CBA171;AR-X;1396
1174;SFE033-01;;0.0;0.0;SFE033;AR-S;1691
1172;SFE033-02;;0.0;0.0;SFE033;AR-S;1691
1173;SFE033-03;;0.0;0.0;SFE033;AR-S;1691
645;TUC082-01;;0.0;0.0;TUC082;AR-T;1654
1147;BUE056-02;;0.0;0.0;BUE056;AR-B;1250
1211;MIS052-01;;0.0;0.0;MIS052;AR-N;1541
316;MIS002-01;;0.0;0.0;MIS002;AR-N;1534
1060;BUE031-01;;0.0;0.0;BUE031;AR-B;1225
1139;CAT003-01;;0.0;0.0;CAT003;AR-K;1330
1254;SAL052-01;;0.0;0.0;SAL052;AR-A;1680
1122;CBA307-01;;0.0;0.0;CBA307;AR-X;1398
1142;BUE101-01;;0.0;0.0;BUE101;AR-B;1296
1143;BUE101-02;;0.0;0.0;BUE101;AR-B;1296
1144;BUE101-03;;0.0;0.0;BUE101;AR-B;1296
1232;CBA218-01;;0.0;0.0;CBA218;AR-X;1386
397;ERI022-01;;0.0;0.0;ERI022;AR-E;1434
1131;CHA043-01;;0.0;0.0;CHA043;AR-H;1364
1133;RNO037-03;;0.0;0.0;RNO037;AR-R;1573
1134;RNO037-06;;0.0;0.0;RNO037;AR-R;1573
1305;SAL057-01;;0.0;0.0;SAL057;AR-A;1675
1150;MIS059-01;;0.0;0.0;MIS059;AR-N;1544
1153;MIS059-02;;0.0;0.0;MIS059;AR-N;1544
1151;MIS059-04;;0.0;0.0;MIS059;AR-N;1544
1154;MIS059-05;;0.0;0.0;MIS059;AR-N;1544
1149;MIS059-06;;0.0;0.0;MIS059;AR-N;1544
1152;MIS059-07;;0.0;0.0;MIS059;AR-N;1544
758;ERI056-02;;0.0;0.0;ERI056;AR-E;1439
1294;NEU043-01;;0.0;0.0;NEU043;AR-Q;1552
1235;SAL006-01;;0.0;0.0;SAL006;AR-A;1664
1236;SAL006-02;;0.0;0.0;SAL006;AR-A;1664
1234;SAL006-03;;0.0;0.0;SAL006;AR-A;1664
583;SFE362-01;;0.0;0.0;SFE362;AR-S;1690
1223;CBA107-01;;0.0;0.0;CBA107;AR-X;1386
1222;CBA107-03;;0.0;0.0;CBA107;AR-X;1386
