municipio_id;provincia_id;id_departamento;municipio;provincia;departamento
CBA384;AR-X;1401;Villa Candelaria Norte;Cordoba;Rio Seco
CBA071;AR-X;1382;Chucul;Cordoba;Rio Cuarto
BUE043;AR-X;1382;Vicuna Mackenna;Cordoba;Rio Cuarto
CHU008;AR-X;1388;Pampayasta Sud;Cordoba;Tercero Arriba
MIS023;AR-X;1388;James Craik;Cordoba;Tercero Arriba
BUE014;AR-X;1396;La Falda;Cordoba;Punilla
ERI005;AR-X;1396;La Falda;Cordoba;Punilla
CBA218;AR-X;1396;La Falda;Cordoba;Punilla
SJU011;AR-X;1396;Los Cocos;Cordoba;Punilla
COR037;AR-X;1396;Los Cocos;Cordoba;Punilla
MIS059;AR-X;1391;Villa Quillinzo;Cordoba;Calamuchita
SAL033;AR-X;1391;Villa Canada del Sauce;Cordoba;Calamuchita
SAL040;AR-X;1391;Villa General Belgrano;Cordoba;Calamuchita
ERI056;AR-X;1406;Cordoba;Cordoba;Capital
SFE271;AR-X;1406;Cordoba;Cordoba;Capital
NEU043;AR-X;1406;Cordoba;Cordoba;Capital
SAL006;AR-X;1406;Cordoba;Cordoba;Capital
BUE133;AR-X;1398;Rio Segundo;Cordoba;Rio Segundo
COR067;AR-X;1398;Costa Sacate;Cordoba;Rio Segundo
NEU038;AR-X;1398;Villa del Rosario;Cordoba;Rio Segundo
FOR002;AR-X;1398;Rincon;Cordoba;Rio Segundo
BUE125;AR-X;1386;Leones;Cordoba;Marcos Juarez
BUE093;AR-X;1386;Leones;Cordoba;Marcos Juarez
MIS063;AR-X;1386;Cruz Alta;Cordoba;Marcos Juarez
TUC112;AR-X;1386;Cruz Alta;Cordoba;Marcos Juarez
COR048;AR-X;1386;Cruz Alta;Cordoba;Marcos Juarez
SGO102;AR-X;1393;Silvio Pellico;Cordoba;General San Martin
SGO085;AR-X;1402;Los Talares;Cordoba;Pocho
RNO058;AR-X;1402;Los Talares;Cordoba;Pocho
CAT017;AR-X;1395;Quilino;Cordoba;Ischilin
NEU023;AR-X;1400;Las Penas;Cordoba;Totoral
BUE115;AR-X;1383;Villa Allende;Cordoba;Colon
CBA398;AR-X;1383;Villa Allende;Cordoba;Colon
ERI054;AR-X;1383;Villa Allende;Cordoba;Colon
MIS042;AR-X;1383;Villa Allende;Cordoba;Colon
LRJ009;AR-X;1383;Villa Allende;Cordoba;Colon
LRJ011;AR-X;1383;Villa Allende;Cordoba;Colon
CBA087;AR-X;1383;Jesus Maria;Cordoba;Colon
SLU064;AR-X;1383;Jesus Maria;Cordoba;Colon
SFE011;AR-X;1383;Jesus Maria;Cordoba;Colon
BUE105;AR-X;1383;Salsipuedes;Cordoba;Colon
SAL043;AR-X;1387;Altos de Chipion;Cordoba;San Justo
BUE009;AR-X;1387;Colonia San Pedro;Cordoba;San Justo
SFE105;AR-X;1389;Villa San Isidro;Cordoba;Santa Maria
BUE121;AR-X;1385;Los Cisnes;Cordoba;Juarez Celman
ERI015;AR-X;1385;General Deheza;Cordoba;Juarez Celman
BUE091;AR-X;1407;Laboulaye;Cordoba;Presidente Roque Saenz Pena
SFE042;AR-S;1693;Campo Piaggio;Santa Fe;San Jeronimo
BUE086;AR-S;1693;San Genaro;Santa Fe;San Jeronimo
ERI037;AR-S;1685;Las Avispas;Santa Fe;San Cristobal
SJU015;AR-S;1691;Bigand;Santa Fe;Caseros
ERI022;AR-S;1691;Bigand;Santa Fe;Caseros
BUE066;AR-S;1691;Bigand;Santa Fe;Caseros
SJU014;AR-S;1700;San Agustin;Santa Fe;Las Colonias
SGO078;AR-S;1700;San Jeronimo Norte;Santa Fe;Las Colonias
RNO071;AR-S;1700;Providencia;Santa Fe;Las Colonias
SJU016;AR-S;1690;Colonia Dolores;Santa Fe;San Justo
ERI058;AR-S;1684;Carmen del Sauce;Santa Fe;Rosario
CBA364;AR-S;1684;Zavalla;Santa Fe;Rosario
SGO013;AR-S;1684;Granadero Baigorria;Santa Fe;Rosario
SAL028;AR-S;1684;Granadero Baigorria;Santa Fe;Rosario
SGO071;AR-S;1684;Granadero Baigorria;Santa Fe;Rosario
SJU019;AR-S;1701;Pozo Borrado;Santa Fe;Nueve de Julio
FOR008;AR-S;1701;Esteban Rams;Santa Fe;Nueve de Julio
CAT009;AR-S;1692;Las Rosas;Santa Fe;Belgrano
SLU007;AR-S;1692;Montes de Oca;Santa Fe;Belgrano
SGO040;AR-S;1692;Tortugas;Santa Fe;Belgrano
JUJ037;AR-S;1683;Sancti Spiritu;Santa Fe;General Lopez
CHU018;AR-S;1687;Capitan Bermudez;Santa Fe;San Lorenzo
BUE008;AR-S;1687;Fray Luis Beltran;Santa Fe;San Lorenzo
JUJ017;AR-S;1687;Luis Palacios;Santa Fe;San Lorenzo
SAL049;AR-S;1687;Luis Palacios;Santa Fe;San Lorenzo
RNO021;AR-S;1694;Emilia;Santa Fe;La Capital
TUC097;AR-S;1694;Nelson;Santa Fe;La Capital
CHA015;AR-S;1694;Nelson;Santa Fe;La Capital
CBA246;AR-S;1694;Nelson;Santa Fe;La Capital
TUC071;AR-S;1689;Ramona;Santa Fe;Castellanos
MZA006;AR-S;1689;Colonia Aldao;Santa Fe;Castellanos
SAL048;AR-S;1689;Presidente Roca;Santa Fe;Castellanos
CBA168;AR-S;1695;La Sarita;Santa Fe;General Obligado
CBA263;AR-S;1695;Los Laureles;Santa Fe;General Obligado
SJU006;AR-S;1696;Correa;Santa Fe;Iriondo
CHA026;AR-S;1696;Villa Eloisa;Santa Fe;Iriondo
BUE050;AR-S;1688;Cacique Ariacaiquin;Santa Fe;San Javier
TUC100;AR-T;1648;Tafi del Valle;Tucuman;Tafi del Valle
SCR016;AR-T;1648;Tafi del Valle;Tucuman;Tafi del Valle
COR019;AR-T;1648;Tafi del Valle;Tucuman;Tafi del Valle
FOR001;AR-T;1648;Amaicha del Valle;Tucuman;Tafi del Valle
CAT028;AR-T;1648;Amaicha del Valle;Tucuman;Tafi del Valle
CBA083;AR-T;1648;El Mollar;Tucuman;Tafi del Valle
CHA043;AR-T;1654;San Felipe y Santa Barbara;Tucuman;Lules
BUE088;AR-T;1644;Bella Vista;Tucuman;Leales
BUE083;AR-T;1649;Anca Juli;Tucuman;Tafi Viejo
SFE227;AR-T;1649;Anca Juli;Tucuman;Tafi Viejo
CHU024;AR-T;1649;Las Talitas;Tucuman;Tafi Viejo
SFE202;AR-T;1650;Villa Chicligasta;Tucuman;Simoca
COR071;AR-T;1643;Villa Quinteros;Tucuman;Monteros
SFE336;AR-T;1651;El Puestito;Tucuman;Burruyacu
CBA066;AR-T;1651;El Puestito;Tucuman;Burruyacu
JUJ010;AR-T;1651;El Timbo;Tucuman;Burruyacu
BUE097;AR-T;1652;Yerba Buena;Tucuman;Yerba Buena
SLU044;AR-T;1652;Yerba Buena;Tucuman;Yerba Buena
NEU005;AR-T;1652;Yerba Buena;Tucuman;Yerba Buena
SFE101;AR-T;1646;Banda del Rio Sali;Tucuman;Cruz Alta
FOR019;AR-T;1646;Banda del Rio Sali;Tucuman;Cruz Alta
COR055;AR-T;1646;Alderetes;Tucuman;Cruz Alta
ERI040;AR-T;1653;San Pedro de Colalao;Tucuman;Trancas
CBA380;AR-Z;1607;Jaramillo;Santa Cruz;Deseado
MZA003;AR-Z;1607;Jaramillo;Santa Cruz;Deseado
NEU022;AR-Z;1607;Canadon Seco;Santa Cruz;Deseado
NEU027;AR-Z;1612;Puerto San Julian;Santa Cruz;Magallanes
SFE264;AR-Z;1612;Puerto San Julian;Santa Cruz;Magallanes
BUE049;AR-Z;1613;Veintiocho de Noviembre;Santa Cruz;Guer Aike
MZA014;AR-Z;1611;Los Antiguos;Santa Cruz;Lago Buenos Aires
ERI016;AR-Z;1609;El Chalten;Santa Cruz;Lago Argentino
MIS031;AR-Z;1609;El Chalten;Santa Cruz;Lago Argentino
SFE182;AR-W;1425;Garruchos;Corrientes;Santo Tome
TUC036;AR-W;1419;Corrientes;Corrientes;Capital
CBA404;AR-W;1419;Corrientes;Corrientes;Capital
ERI064;AR-W;1419;Corrientes;Corrientes;Capital
MIS047;AR-W;1419;Corrientes;Corrientes;Capital
CHU022;AR-W;1419;Corrientes;Corrientes;Capital
MIS057;AR-W;1419;Corrientes;Corrientes;Capital
LRJ013;AR-W;1419;Corrientes;Corrientes;Capital
LRJ012;AR-W;1419;Corrientes;Corrientes;Capital
BUE130;AR-W;1419;Corrientes;Corrientes;Capital
TUC012;AR-W;1419;Corrientes;Corrientes;Capital
CHU005;AR-W;1419;Riachuelo;Corrientes;Capital
BUE042;AR-W;1419;Riachuelo;Corrientes;Capital
CBA317;AR-W;1411;Tapebicua;Corrientes;Paso de los Libres
SGO119;AR-W;1428;Loreto;Corrientes;San Miguel
CBA264;AR-W;1431;Pago de los Deseos;Corrientes;Saladas
MIS061;AR-W;1431;Saladas;Corrientes;Saladas
SGO004;AR-W;1415;Colonia Carlos Pellegrini;Corrientes;San Martin
RNO009;AR-W;1415;Colonia Carlos Pellegrini;Corrientes;San Martin
SAL020;AR-W;1415;Colonia Carlos Pellegrini;Corrientes;San Martin
CHU006;AR-W;1417;Ituzaingo;Corrientes;Ituzaingo
JUJ033;AR-W;1417;Villa Olivari;Corrientes;Ituzaingo
CHA039;AR-W;1414;Colonia Pando;Corrientes;San Roque
NEU046;AR-W;1414;Chavarria;Corrientes;San Roque
TUC006;AR-W;1427;Itati;Corrientes;Itati
CBA290;AR-W;1418;Concepcion;Corrientes;Concepcion
ERI027;AR-W;1412;Ita Ibate;Corrientes;General Paz
CBA185;AR-W;1409;Bella Vista;Corrientes;Bella Vista
ERI044;AR-W;1423;Esquina;Corrientes;Esquina
BUE075;AR-W;1413;Carolina;Corrientes;Goya
CBA277;AR-M;1517;Guaymallen;Mendoza;Guaymallen
BUE089;AR-M;1517;Guaymallen;Mendoza;Guaymallen
SFE054;AR-M;1524;Malargue;Mendoza;Malargue
ERI068;AR-M;1524;Malargue;Mendoza;Malargue
